Taxa,Date,Date type,Date justification,Source,Aka,Epi notes,Misc Notes,Conflict date1,Conflict source1,Conflict date2,Conflict source2
AY279354|BJ04|Human|China_Beijing|2003.1685,2003-03-03,Date of collection (unsure),Table A.1 -- Further dates were procured either from the literature or via personal communication,https://era.ed.ac.uk/handle/1842/5859; https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005,,"Isolate BJ04 was inoculated from the autopsied lung tissue of a single deceased patient who had no direct contact with the Index Case of Beijing. Vs one isolate (BJ04) from the lung autopsy of one of the early patients of the HZS-2 Hospital SSE outbreak, Guangzhou (the ambulance driver for patients of SGQ/SQS brothers and ZZF of the HZS-2 Hospital; refer to §2 about the patients' information): https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",Lung autopsy,,,,
AY274119|Tor2|Human|Canada|2003.29,2003-03-13,Estimated date of collection,"Toronto index patient 1 (or patient F) was infected and linked to index patient A on February 21,
2003 in Hong Kong: TOR2 was the primary contact of patient 1. He was admitted to hospital
on March 7 and died on March 13, 2003 in Toronto: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/,,"Toronto index patient 1 (or patient F) was infected and linked to index patient A on February 21,
2003 in Hong Kong: TOR2 was the primary contact of patient 1. He was admitted to hospital
on March 7 and died on March 13, 2003 in Toronto: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/",,2003-04-13,Table A.1 -- Further dates were procured either from the literature or via personal communication,,
AY390556|GZ02|Human|China_Guangdong_Guangzhou|2003.13,2003-02-11,Date of collection,"We used the GZ02 sequence
as the out-group, which was sampled on February 11, 2003 : https://www.science.org/action/downloadSupplement?doi=10.1126%2Fscience.1092002&file=wang.som.pdf",https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.19424-0; https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed; https://www.pnas.org/content/102/7/2430.long,," Representative strain of this kind, GZ02 (GenBank accession no.: AY390556) from the first SARS autopsy sample as that of GD01 (originally designated as GZ01, GenBank accession no.: AY278489): https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",,2003-02-17,https://github.com/plemey/SARSCoV2origins/blob/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,
AY559093|Sin845|Human|Singapore|2003.29,2003-04-07,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,,,vero cell isolate from throat swab,,,,
AY559094|Sin846|Human|Singapore|2003.21,2003-03-25,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,vero cell isolate from SIN3765V,,vero cell isolate from SIN3765V,,,,
AY559082|Sin852|Human|Singapore|2003.29,2003-04-11,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,,,,,,,
AY283794|Sin2500_index|Human|Singapore|2003.13,2003-02-25,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32; https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA#bib14,index case, index case. history of travel to Hong Kong and had stayed in hotel M https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA,vero cell isolate from throat swab,,,,
AY283796|Sin2679_contact2|Human|Singapore|2003.21,2003-03-15,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32; https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA#bib14,,secondary contact: primary contact of index: https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA,vero cell isolate from nasopharyngeal aspirate,,,,
AY283798|Sin2774_contact1|Human|Singapore|2003.21,2003-03-09,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32; https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA#bib14,,primary contact of index: https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA,vero cell isolate from endotracheal tube aspirate,,,,
AY283797|Sin2748_contact1|Human|Singapore|2003.21,2003-03-14,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32; https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA#bib14,,primary contact of index: https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA,vero cell isolate from endotracheal tube aspirate,,,,
AY283795|Sin2677_contact1|Human|Singapore|2003.21,2003-03-09,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32; https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA#bib14,,primary contact of index: https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA,vero cell isolate from nasopharyngeal aspirate,,,,
AY559081|Sin842|Human|Singapore|2003.29,2003-04-02,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,vero cell isolate from SIN3408,,vero cell isolate from SIN3408,,,,
AY559096|Sin850|Human|Singapore|2003.29,2003-04-14,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,vero cell isolate from nasal swab,,vero cell isolate from nasal swab,,,,
AY559085|Sin848|Human|Singapore|2003.29,2003-04-05,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,,,vero cell isolate from lung tissue,,,,
AY559086|Sin849|Human|Singapore|2003.29,2003-04-12,Date of onset,Stable 1: https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-4-32,,vero cell isolate from SIN3725V,vero cell isolate from SIN3725V,,,,,
AY304490|GZ43|Human|Hong_Kong|2003.1384,2003-02-18,Date of collection,Table 1: https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext; https://www.sciencedirect.com/science/article/pii/S0140673603146302?casa_token=NOB0ipctLIAAAAAA:qO-8L5wvGm5VccEsu97_l2zSaSaxHZN0uSZA5Vb9HrFsZjzHZIXsanBAvAY1j6HUREEIrY8PwA; https://era.ed.ac.uk/handle/1842/5859,,36-year-old female health-care worker. All were from Guangzhou and had had contact with a patient with SARS before the onset of their disease.  https://www.sciencedirect.com/science/article/pii/S0140673603146302?casa_token=NOB0ipctLIAAAAAA:qO-8L5wvGm5VccEsu97_l2zSaSaxHZN0uSZA5Vb9HrFsZjzHZIXsanBAvAY1j6HUREEIrY8PwA#bib12;  https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext ,,,,,
AY304495|GZ50|Human|Hong_Kong|2003.13,2003-02-18,Date of collection,Table 1: https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext; https://www.sciencedirect.com/science/article/pii/S0140673603146302?casa_token=NOB0ipctLIAAAAAA:qO-8L5wvGm5VccEsu97_l2zSaSaxHZN0uSZA5Vb9HrFsZjzHZIXsanBAvAY1j6HUREEIrY8PwA; https://era.ed.ac.uk/handle/1842/5859,,49-year-old female clerk. communy aquired.  Patient Guangzhou Chest Hospital. All were from Guangzhou and had had contact with a patient with SARS before the onset of their disease.  https://www.sciencedirect.com/science/article/pii/S0140673603146302?casa_token=NOB0ipctLIAAAAAA:qO-8L5wvGm5VccEsu97_l2zSaSaxHZN0uSZA5Vb9HrFsZjzHZIXsanBAvAY1j6HUREEIrY8PwA#bib12;  https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext ,,,,,
AY304491|GZ60|Human|Hong_Kong|2003.1411,2003-02-18,Date of collection,Table 1: https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext; https://www.sciencedirect.com/science/article/pii/S0140673603146302?casa_token=NOB0ipctLIAAAAAA:qO-8L5wvGm5VccEsu97_l2zSaSaxHZN0uSZA5Vb9HrFsZjzHZIXsanBAvAY1j6HUREEIrY8PwA; https://era.ed.ac.uk/handle/1842/5859,,39-year-old male health-care worker. Patient in Guangzhou Chest Hospital. All were from Guangzhou and had had contact with a patient with SARS before the onset of their disease.  https://www.sciencedirect.com/science/article/pii/S0140673603146302?casa_token=NOB0ipctLIAAAAAA:qO-8L5wvGm5VccEsu97_l2zSaSaxHZN0uSZA5Vb9HrFsZjzHZIXsanBAvAY1j6HUREEIrY8PwA#bib12;  https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext ,,,,,
AY278491|HKU_39849|Human|Hong_Kong|2003.21,2003-03-04,Date of collection,Table 1: https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext,Patient 2A/ HK-39, social contact of index case (HKU-33); onset of disease Feb24; Lung biopsy: https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(03)15259-2/fulltext ,,,,,
AY338174|TaiwanTC1|Human|Taiwan|2003.21,2003-03-31,Estimated date of onset,TC1 (direct sequencing of a sample from patient TWC);  The younger brother who developed symptoms on 31 March became the first SARS-related fatality (TC1) in Taiwan.: https://www.sciencedirect.com/science/article/pii/S1567134804001224?casa_token=ajMJ_jSaA4wAAAAA:D6z2eAuvfvwTwbEjKRFwm_RRBpSDw4z66cygX05QEDZB_jAd3Lp40F2CZrIY9UDdQ9Wz_mBQWw,https://academic.oup.com/jid/article/191/9/1478/862107?login=false; https://academic.oup.com/view-large/figure/203391417/191-9-1478-fig004.gif; https://academic.oup.com/jid/article/191/9/1478/862107?login=false; https://www.sciencedirect.com/science/article/pii/S1567134804001224?casa_token=ajMJ_jSaA4wAAAAA:D6z2eAuvfvwTwbEjKRFwm_RRBpSDw4z66cygX05QEDZB_jAd3Lp40F2CZrIY9UDdQ9Wz_mBQWw,TWC (Pt4),"Pts 1 and 2 belonged to the same cluster; Pt 4 belonged to another cluster. However, these three patients were located in the same lineage closer to the Hotel M lineages. https://www.pnas.org/content/101/8/2542.long",,2003-03-18,https://github.com/plemey/SARSCoV2origins/blob/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,
AY714217|CDC_200301157|Human|USA|2003.21,2003-03-18,Date of collection (unsure),From https://www.nature.com/articles/s41564-020-0771-4,https://raw.githubusercontent.com/plemey/SARSCoV2origins/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,,,,,,
AY291451|TW1|Human|Taiwan|2003.21,2003-03-14,Estimated date of onset,"Fig 1; also :Patients 1 and 2 were infected in mid-March 2003 through familial or hospital contact with the first index SARS patient, who developed SARS around March 7 after returning to Taiwan from Guangdong. ",https://academic.oup.com/view-large/figure/203391417/191-9-1478-fig004.gif; https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false; https://wwwnc.cdc.gov/eid/article/9/9/03-0367_article,Pt 1,Pt 1 was the son of the first index case in Taiwan. were closer to the strains related to Hotel M in Hong Kong https://www.pnas.org/content/101/8/2542.long,TW1 and TW2 are the same patient (Both the clinical specimens and the virus isolate after passage in Vero E6 cells were collected from patients 1 and 2): Figure 2: https://www.pnas.org/content/101/8/2542.long,,,,
AY502925|TW2|Human|Taiwan|2003.21,2003-03-17,Estimated date of onset,"Patients 1 and 2 were infected in mid-March 2003 through familial or hospital contact with the first index SARS patient, who developed SARS around March 7 after returning to Taiwan from Guangdong. ",https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 1,Pt 1 was the son of the first index case in Taiwan. were closer to the strains related to Hotel M in Hong Kong https://www.pnas.org/content/101/8/2542.long,TW1 and TW2 are the same patient (Both the clinical specimens and the virus isolate after passage in Vero E6 cells were collected from patients 1 and 2): Figure 2: https://www.pnas.org/content/101/8/2542.long,,,,
AY502926|TW3|Human|Taiwan|2003.21,2003-03-17,Estimated date of onset,"Patients 1 and 2 were infected in mid-March 2003 through familial or hospital contact with the first index SARS patient, who developed SARS around March 7 after returning to Taiwan from Guangdong. ",https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 2,Pt 2 was the physician taking care of Pt 1 (TW1/2) --  Pts 1 and 2 belonged to the same cluster. were closer to the strains related to Hotel M in Hong Kong,TW3/TW4 from same patient (Both the clinical specimens and the virus isolate after passage in Vero E6 cells were collected from patients 1 and 2.): Figure 2 (https://www.pnas.org/content/101/8/2542.long). TW3: Genome from culture isolate,,,,
AY502927|TW4|Human|Taiwan|2003.21,2003-03-17,Estimated date of onset,"Patients 1 and 2 were infected in mid-March 2003 through familial or hospital contact with the first index SARS patient, who developed SARS around March 7 after returning to Taiwan from Guangdong. ",https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 2,Pt 2 was the physician taking care of Pt 1 (TW1/2) --  Pts 1 and 2 belonged to the same cluster. were closer to the strains related to Hotel M in Hong Kong,TW3/TW4 from same patient (Both the clinical specimens and the virus isolate after passage in Vero E6 cells were collected from patients 1 and 2.): Figure 2 (https://www.pnas.org/content/101/8/2542.long). TW3: Genome from culture isolate,,,,
AY502928|TW5|Human|Taiwan|2003.21,2003-03-26,Estimated date of onset,Fig 1; also Patient 3 was an employee of an international construction company who developed symptoms after returning from Beijing (through Hong Kong) in late March. ,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 3,The other patients (Pts 3 and 5–10) were in the third (also the major) cluster closer to another lineage of the SARS virus in Hong Kong (unrelated to Hotel M strains and represented by CUHK-Su10 isolate). On flight?: https://www.nejm.org/doi/full/10.1056/NEJMoa031349,,,,,
AY502929|TW6|Human|Taiwan|2003.29,2003-04-25,Estimated date of onset,Patients 5–7 were from Hospital H where the SARS outbreak occurred in late April.: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 5, The other patients (Pts 3 and 5–10) were in the third (also the major) cluster closer to another lineage of the SARS virus in Hong Kong (unrelated to Hotel M strains and represented by CUHK-Su10 isolate) . FIg 2.https://www.pnas.org/content/101/8/2542.long,,,,,
AY502930|TW7|Human|Taiwan|2003.29,2003-04-25,Estimated date of onset,Patients 5–7 were from Hospital H where the SARS outbreak occurred in late April.: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 6,The other patients (Pts 3 and 5–10) were in the third (also the major) cluster closer to another lineage of the SARS virus in Hong Kong (unrelated to Hotel M strains and represented by CUHK-Su10 isolate) . FIg 2.https://www.pnas.org/content/101/8/2542.long,,,,,
AY502931|TW8|Human|Taiwan|2003.29,2003-04-25,Estimated date of onset,Patients 5–7 were from Hospital H where the SARS outbreak occurred in late April.: https://www.pnas.org/content/101/8/2542.long,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 7,The other patients (Pts 3 and 5–10) were in the third (also the major) cluster closer to another lineage of the SARS virus in Hong Kong (unrelated to Hotel M strains and represented by CUHK-Su10 isolate) . FIg 2.https://www.pnas.org/content/101/8/2542.long,,,,,
AY502932|TW9|Human|Taiwan|2003.37,2003-05-05,Estimated date of onset,Patient 8 was from a local clinic R and seemed to be infected in early May. ,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 8,The other patients (Pts 3 and 5–10) were in the third (also the major) cluster closer to another lineage of the SARS virus in Hong Kong (unrelated to Hotel M strains and represented by CUHK-Su10 isolate) . FIg 2.https://www.pnas.org/content/101/8/2542.long,,,,,
AY502923|TW10|Human|Taiwan|2003.37,2003-05-15,Estimated date of onset, Patients 9 and 10 were sporadic cases without apparent contacts and were reported from the Taipei metropolitan areas in mid-May. ,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 9,associated with community outbreaks in Taipei: https://academic.oup.com/jid/article/191/9/1478/862107?login=false,,,,,
AY502924|TW11|Human|Taiwan|2003.37,2003-05-15,Estimated date of onset, Patients 9 and 10 were sporadic cases without apparent contacts and were reported from the Taipei metropolitan areas in mid-May. ,https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 10,associated with community outbreaks in Taipei: https://academic.oup.com/jid/article/191/9/1478/862107?login=false,,,,,
AY321118|TWC|Human|Taiwan|2003.21,2003-03-31,Estimated date of onset,"His younger brother (patient TWC), who developed symptoms on 31 March https://academic.oup.com/jid/article/191/9/1478/862107?login=false",https://www.pnas.org/content/101/8/2542.long; https://academic.oup.com/jid/article/191/9/1478/862107?login=false,Pt 4. ,"Pts 1 and 2 belonged to the same cluster; Pt 4 belonged to another cluster. However, these three patients were located in the same lineage closer to the Hotel M lineages. https://www.pnas.org/content/101/8/2542.long",,,,,
AY278741|Urbani|Human|Vietnam_Hanoi|2003.21,2003-03-12,Date of collection,"(SARS-CoV, Urbani strain) was isolated on Vero cells from the throat washings of a patient who was exposed to the virus in Vietnam and subsequently died from progressive respiratory failure; -- see Sup -- links to  --  Blood, nasopharyngeal, and throat-swab specimens were collected on March 12, day 1 after onset. also “Attempts to identify the etiology of the SARS outbreak were successful during the third week of March 2003, when laboratories in the United States, Canada, Germany, and Hong Kong isolated a novel coronavirus (SARS-CoV) from SARS patients.”: https://www.science.org/doi/10.1126/science.1085952?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed", https://www.science.org/doi/10.1126/science.1085952?url_ver=Z39.88-2003; https://www.nejm.org/doi/10.1056/NEJMoa030781?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,Pt 16???,Probably patient 16: From Vietnam and positive in isolation: Patient 16 (a 46-year-old male physician with an epidemiologic link to a hospital with multiple patients with SARS). The URBANI SARS CoV isolate was from a physician infected by a patient who contracted SARS while staying at Hotel M: https://www.sciencedirect.com/science/article/pii/S0140673603134149?casa_token=uyjXfw77-VcAAAAA:EdNsrclQ3gLEHZ-7FiFIVZuLtoaWuNMqmhk-YLdcHB_SPkkNwkPPeeviQ1vWZAWZu70RekLgzA#bib15,,,,,
